id,location,date,total_cases,new_cases,total_deaths,new_deaths
1,Argentina,1/1/2020,,,,
2,Mexico,1/1/2020,,,,
3,Argentina,1/2/2020,,,,
4,Mexico,1/2/2020,,,,
5,Argentina,1/3/2020,,,,
6,Mexico,1/3/2020,,,,
7,Argentina,1/4/2020,,,,
8,Mexico,1/4/2020,,,,
9,Thailand,1/4/2020,,,,
10,Argentina,1/5/2020,,,,
11,Mexico,1/5/2020,,,,
12,Thailand,1/5/2020,,,,
13,Argentina,1/6/2020,,,,
14,Mexico,1/6/2020,,,,
15,Peru,1/6/2020,,,,
16,Thailand,1/6/2020,,,,
17,Argentina,1/7/2020,,,,
18,Mexico,1/7/2020,,,,
19,Peru,1/7/2020,,,,
20,Thailand,1/7/2020,,,,
21,Argentina,1/8/2020,,,,
22,Mexico,1/8/2020,,,,
23,Peru,1/8/2020,,,,
24,Thailand,1/8/2020,,,,
25,Argentina,1/9/2020,,,,
26,Mexico,1/9/2020,,,,
27,Peru,1/9/2020,,,,
28,Thailand,1/9/2020,,,,
29,Argentina,1/10/2020,,,,
30,Mexico,1/10/2020,,,,
31,Peru,1/10/2020,,,,
32,Thailand,1/10/2020,,,,
33,Argentina,1/11/2020,,,,
34,Mexico,1/11/2020,,,,
35,Peru,1/11/2020,,,,
36,Thailand,1/11/2020,,,,
37,Argentina,1/12/2020,,,,
38,Mexico,1/12/2020,,,,
39,Peru,1/12/2020,,,,
40,Thailand,1/12/2020,,,,
41,Argentina,1/13/2020,,,,
42,Mexico,1/13/2020,,,,
43,Peru,1/13/2020,,,,
44,Thailand,1/13/2020,,,,
45,Argentina,1/14/2020,,,,
46,Mexico,1/14/2020,,,,
47,Peru,1/14/2020,,,,
48,Thailand,1/14/2020,,,,
49,Argentina,1/15/2020,,,,
50,Mexico,1/15/2020,,,,
51,Peru,1/15/2020,,,,
52,Thailand,1/15/2020,,,,
53,Argentina,1/16/2020,,,,
54,Mexico,1/16/2020,,,,
55,Peru,1/16/2020,,,,
56,Taiwan,1/16/2020,,,,
57,Thailand,1/16/2020,,,,
58,Argentina,1/17/2020,,,,
59,Mexico,1/17/2020,,,,
60,Peru,1/17/2020,,,,
61,Taiwan,1/17/2020,,,,
62,Thailand,1/17/2020,,,,
63,Argentina,1/18/2020,,,,
64,Mexico,1/18/2020,,,,
65,Peru,1/18/2020,,,,
66,Taiwan,1/18/2020,,,,
67,Thailand,1/18/2020,,,,
68,Argentina,1/19/2020,,,,
69,Mexico,1/19/2020,,,,
70,Peru,1/19/2020,,,,
71,Taiwan,1/19/2020,,,,
72,Thailand,1/19/2020,,,,
73,Argentina,1/20/2020,,,,
74,Mexico,1/20/2020,,,,
75,Peru,1/20/2020,,,,
76,Taiwan,1/20/2020,,,,
77,Thailand,1/20/2020,,,,
78,Argentina,1/21/2020,,,,
79,Mexico,1/21/2020,,,,
80,Peru,1/21/2020,,,,
81,South Korea,1/21/2020,,,,
82,Taiwan,1/21/2020,,,,
83,Thailand,1/21/2020,,,,
84,Argentina,1/22/2020,,,,
85,Asia,1/22/2020,556,0,17,0
86,China,1/22/2020,548,,17,
87,Japan,1/22/2020,2,,,
88,Mexico,1/22/2020,,,,
89,North America,1/22/2020,1,0,,0
90,Peru,1/22/2020,,,,
91,South Korea,1/22/2020,1,,,
92,Taiwan,1/22/2020,1,,,
93,Thailand,1/22/2020,4,,,
94,United States,1/22/2020,1,,,
95,World,1/22/2020,557,0,17,0
96,Argentina,1/23/2020,,,,
97,Asia,1/23/2020,654,98,18,1
98,China,1/23/2020,643,95,18,1
99,Europe,1/23/2020,,0,,0
100,European Union,1/23/2020,,0,,0
101,Japan,1/23/2020,2,0,,
102,Mexico,1/23/2020,,,,
103,North America,1/23/2020,1,0,,0
104,Peru,1/23/2020,,,,
105,Singapore,1/23/2020,1,1,,
106,South Korea,1/23/2020,1,0,,
107,Taiwan,1/23/2020,1,0,,
108,Thailand,1/23/2020,4,0,,
109,United States,1/23/2020,1,0,,
110,Vietnam,1/23/2020,2,2,,
111,World,1/23/2020,655,98,18,1
112,Argentina,1/24/2020,,,,
113,Asia,1/24/2020,937,283,26,8
114,China,1/24/2020,920,277,26,8
115,Europe,1/24/2020,2,2,,0
116,European Union,1/24/2020,2,2,,0
117,France,1/24/2020,2,2,,
118,Japan,1/24/2020,2,0,,
119,Mexico,1/24/2020,,,,
120,North America,1/24/2020,2,1,,0
121,Peru,1/24/2020,,,,
122,Singapore,1/24/2020,3,2,,
123,South Korea,1/24/2020,2,1,,
124,Taiwan,1/24/2020,3,2,,
125,Thailand,1/24/2020,5,1,,
126,United States,1/24/2020,2,1,,
127,Vietnam,1/24/2020,2,0,,
128,World,1/24/2020,941,286,26,8
129,Argentina,1/25/2020,,,,
130,Asia,1/25/2020,1428,491,42,16
131,China,1/25/2020,1406,486,42,16
132,Europe,1/25/2020,3,1,,0
133,European Union,1/25/2020,3,1,,0
134,France,1/25/2020,3,1,,
135,Japan,1/25/2020,2,0,,
136,Malaysia,1/25/2020,3,3,,
137,Mexico,1/25/2020,,,,
